text
I've been feeling really overwhelmed with my workload this week, barely any time to breathe.
Great team sync today, I feel supported and motivated to keep going!
Honestly just exhausted, back-to-back meetings with no breaks again.
I appreciate the flexibility my manager gave me to work from home when I wasn't feeling well.
The new project deadline is stressing me out, I don't think I can finish on time.
Had a good lunch break with colleagues, felt nice to disconnect for a bit.
I feel completely burnt out and unmotivated to even start my tasks today.
Thankful for the wellness day off, it really helped me recharge.
Nobody checks in on how we're actually doing, it feels isolating sometimes.
Proud of how the team pulled together this sprint, really energizing to be part of it.
